index,close,RSI_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2018-10-17,61.23300185203553,0,350,0.0,21431.550648212436,128464.67592358589,149896.22657179832,-0.0006918228546778371,-0.0006918228546778371,-0.004818753961326583,-0.004818753961326583,-0.00025266233815879335,-0.00025266233815879335
2018-10-18,60.17550036907196,0,350,0.0,21061.425129175186,128464.67592358589,149526.10105276108,-0.002469211717347375,-0.003159326314926103,-0.017270123152200334,-0.022005656639174642,-0.014391922356395415,-0.014640948397801057
2018-10-19,60.17700152397156,0,350,0.0,21061.950533390045,128464.67592358589,149526.62645697594,3.5137959939479657e-06,-0.003155823620160314,2.4946280303250745e-05,-0.021981259318150204,-0.00036116989772350117,-0.014996830425689112
2018-10-22,60.62999756336213,0,350,0.0,21220.499147176746,128464.67592358589,149685.17507076263,0.001060336995112543,-0.0020988328615823004,0.007527727003980411,-0.014619001233520557,-0.004299527548581317,-0.019231878688713788
2018-10-23,60.40499970912933,0,350,0.0,21141.749898195263,128464.67592358589,149606.42582178116,-0.0005260991874729282,-0.0026238278547920935,-0.0037109988994749044,-0.01827574903550644,-0.005511829997012829,-0.024637705839871238
2018-10-24,58.198998665809626,0,350,0.0,20369.649533033367,128464.67592358589,148834.32545661926,-0.005160877020627841,-0.0077711636225380465,-0.0365201730641892,-0.05412848858204122,-0.030864433977743855,-0.05474171097235736
2018-10-25,59.7895025730133,0,350,0.0,20926.325900554657,128464.67592358589,149391.00182414055,0.003740241814604417,-0.004059987839062806,0.02732871602029907,-0.028279034654808743,0.018625040052811848,-0.037136237478965106
2018-10-26,58.86049745082855,0,350,0.0,20601.17410778999,128464.67592358589,149065.85003137589,-0.0021765152438526503,-0.006227666457493841,-0.01553793027547401,-0.043377567261558614,-0.017327264039978307,-0.05382003212669406
2018-10-29,57.99400148391724,0,350,0.0,20297.900519371033,128464.67592358589,148762.57644295692,-0.0020344940732912598,-0.008249490380286884,-0.014721179813934948,-0.057460178107945126,-0.0065595995737004476,-0.06002659384059972
2018-10-30,58.467001533508295,0,350,0.0,20463.4505367279,128464.67592358589,148928.1264603138,0.0011128472046890714,-0.007145823597907608,0.008156016786015963,-0.049772807499105065,0.015666780052058682,-0.045300237231515994
2018-10-31,59.5710021018982,0,350,0.0,20849.85073566437,128464.67592358589,149314.52665925026,0.0025945414618469,-0.00456982227166447,0.01888245573457681,-0.031830184598915734,0.010851331974038647,-0.03494047317017923
2018-11-01,60.11550033092498,0,350,0.0,21040.425115823742,128464.67592358589,149505.10103940964,0.0012763284619605741,-0.0032993264039353765,0.009140323476435563,-0.02298079930602892,0.010557843693063784,-0.024751525531407914
2018-11-02,59.18099853992462,0,350,0.0,20713.349488973618,128464.67592358589,149178.0254125595,-0.0021877221885820974,-0.005479830582936218,-0.015545105436303386,-0.0381686657941096,-0.0063166863793988615,-0.03091186428661319
2018-11-05,59.159248971939085,0,350,0.0,20705.73714017868,128464.67592358589,149170.41306376457,-5.102862015959886e-05,-0.005530579574902439,-0.00036750931079454485,-0.038522147764844195,0.005600317169601965,-0.025484663361319937
2018-11-06,59.49899892807007,0,350,0.0,20824.649624824524,128464.67592358589,149289.32554841042,0.0007971586469699421,-0.004737829677263439,0.005742972773236765,-0.03300040663738757,0.006259295774170726,-0.01938488363283286
2018-11-07,60.95749795436858,0,350,0.0,21335.124284029003,128464.67592358589,149799.8002076149,0.0034193647625460066,-0.0013346652825667604,0.02451300110211463,-0.00929634453954542,0.021208856064105275,0.0014128412244842625
2018-11-08,60.83149988651275,0,350,0.0,21291.024960279465,128464.67592358589,149755.70088386536,-0.0002943884016428644,-0.001628660774230406,-0.0020669822759152856,-0.011344111436066617,-0.0025089163835961825,-0.0010996198596074924
2018-11-09,59.89199750423431,0,350,0.0,20962.19912648201,128464.67592358589,149426.8750500679,-0.0021957483545315126,-0.0038208329995468304,-0.015444340251862587,-0.02661324937105558,-0.00919901370610332,-0.01028851814755083
2018-11-12,58.14549808502197,0,350,0.0,20350.92432975769,128464.67592358589,148815.60025334358,-0.0040907955581585,-0.007895998311042374,-0.029160814332313212,-0.05499799967967989,-0.01970148934024063,-0.029787308357180575
2018-11-13,58.1324996471405,0,350,0.0,20346.374876499176,128464.67592358589,148811.05080008507,-3.05710775668766e-05,-0.007926327999432381,-0.00022355020267372794,-0.05520925506837859,-0.0014819196931705747,-0.03122508565149007
2018-11-14,57.46650111675263,0,350,0.0,20113.275390863422,128464.67592358589,148577.9513144493,-0.0015664124699240611,-0.009480324570337428,-0.011456561036088608,-0.06603330790401929,-0.007567410690302756,-0.03855620329482812
2018-11-15,58.67849960327148,0,350,0.0,20537.47486114502,128464.67592358589,149002.1507847309,0.002855063396209001,-0.006652328101793392,0.021090521659853145,-0.04633546315478765,0.010593753366266334,-0.028370904837006772
2018-11-16,58.61849932670592,0,350,0.0,20516.474764347073,128464.67592358589,148981.15068793297,-0.0001409382125515668,-0.006792328747112997,-0.001022525745736913,-0.04731060969650813,0.0022233054237545957,-0.0262106765998531
2018-11-19,56.70150048732758,0,350,0.0,19845.52517056465,128464.67592358589,148310.20109415054,-0.00450358713625354,-0.011265326038995882,-0.032702966834652125,-0.07846637923132815,-0.01664310858849427,-0.042417558051518145
2018-11-20,55.54524776935577,0,350,0.0,19440.836719274517,128464.67592358589,147905.5126428604,-0.0027286622788220694,-0.013963249047596715,-0.020391924517592308,-0.09725822326646649,-0.01815124083246611,-0.059798867572266046
2018-11-21,55.90299894809722,0,350,0.0,19566.049631834027,128464.67592358589,148030.72555541992,0.0008465736693794579,-0.01312849629719992,0.006440716228811594,-0.09144391965463261,0.0030432907461763747,-0.05693756216640422
2018-11-23,55.38950123786926,0,350,0.0,19386.325433254242,128464.67592358589,147851.00135684013,-0.0012141006396169107,-0.01432665762106522,-0.009185512761215375,-0.09978947312492481,-0.006554842390161242,-0.06311918781048464
2018-11-26,56.35649900436401,0,350,0.0,19724.774651527405,128464.67592358589,148189.4505751133,0.0022891236120634595,-0.012070329499244137,0.01745814179373073,-0.08407347010253075,0.0155323683669224,-0.048567209919655685
2018-11-27,56.45100255012511,0,350,0.0,19757.85089254379,128464.67592358589,148222.52681612968,0.0002232023999551025,-0.011849821225801471,0.0016768881571898042,-0.08253756375168975,0.003261692144003847,-0.04546392906270291
2018-11-28,58.18999924659728,0,350,0.0,20366.499736309048,128464.67592358589,148831.17565989494,0.004106318093742178,-0.007792162267366454,0.03080541740473164,-0.0542747504498986,0.022973979644221654,-0.023534436799314107
2018-11-29,57.70900216102599,0,350,0.0,20198.150756359097,128464.67592358589,148662.826679945,-0.0011311405638201322,-0.00891448880036605,-0.008265975112543344,-0.06209209182598363,-0.0021831080910337253,-0.02566616667095334
2018-11-30,58.11750135421753,0,350,0.0,20341.125473976135,128464.67592358589,148805.80139756203,0.0009617381884230447,-0.007961324016252602,0.007078604340648553,-0.055453012836054416,0.008170747552017188,-0.01770513088743253
2018-12-03,59.172501754760745,0,350,0.0,20710.37561416626,128464.67592358589,149175.05153775215,0.0024814230139025284,-0.005499656414985177,0.018152886410466085,-0.038306758668719354,0.010941426132194287,-0.006957424137003954
2018-12-04,57.31499834060669,0,350,0.0,20060.24941921234,128464.67592358589,148524.92534279823,-0.00435814292170289,-0.009833831048011277,-0.03139132805052658,-0.06849558669132383,-0.03236490314939877,-0.03909715092803934
2018-12-06,57.37149949073791,0,350,0.0,20080.02482175827,128464.67592358589,148544.70074534416,0.00013314534580843862,-0.009701995031038302,0.0009858004321214864,-0.06757730923816108,-0.0015222281477752508,-0.040559864292174064
2018-12-07,55.72849910259246,0,350,0.0,19504.97468590736,128464.67592358589,147969.65060949326,-0.0038712261895949007,-0.013535662603377685,-0.028637919572081283,-0.09427995526338229,-0.023320118765389863,-0.06293412220516237
2018-12-10,56.31899855136872,0,350,0.0,19711.649492979053,128464.67592358589,148176.32541656494,0.0013967378190080648,-0.012157830556233096,0.010596004885923715,-0.08468294124407405,0.0017621539947350051,-0.061282867825276366
2018-12-11,56.361499869823454,0,350,0.0,19726.52495443821,128464.67592358589,148191.2008780241,0.00010039027096486741,-0.012058660813172084,0.0007546533061302263,-0.08399219419952653,-0.00035634616892232795,-0.06161737607902862
2018-12-12,56.72600131034851,0,350,0.0,19854.10045862198,128464.67592358589,148318.77638220787,0.0008608844751099021,-0.01120815745194681,0.006467206184486374,-0.07806818285281591,0.005419503676349802,-0.056531807998866146
2018-12-13,56.8172516465187,0,350,0.0,19886.038076281544,128464.67592358589,148350.71399986744,0.00021533091385039782,-0.010995240000883144,0.0016086156976049537,-0.07658514885963152,-0.00019993032368359476,-0.056720435899878074
2018-12-14,55.6449998497963,0,350,0.0,19475.749947428703,128464.67592358589,147940.4258710146,-0.0027656633243653417,-0.013730494193235465,-0.020631969388723914,-0.09563701580145267,-0.019086709555430348,-0.0747245389694301
2018-12-17,54.74600088596344,0,350,0.0,19161.100310087204,128464.67592358589,147625.7762336731,-0.00212686718649735,-0.015828158442178775,-0.016155970280520182,-0.11024787729696695,-0.020773480559224233,-0.09394573077107593
2018-12-18,55.038500380516055,0,350,0.0,19263.47513318062,128464.67592358589,147728.1510567665,0.00069347525686414,-0.015145659621556007,0.005342846780021393,-0.10549406803316586,8.640058610476231e-05,-0.09386744715117179
2018-12-19,54.18599927425384,0,350,0.0,18965.099745988842,128464.67592358589,147429.77566957474,-0.0020197598430452546,-0.01713482886950124,-0.015489177582389324,-0.11934922926190084,-0.01539571453679811,-0.10781800526733243
2018-12-20,53.433499574661255,0,350,0.0,18701.72485113144,128464.67592358589,147166.40077471733,-0.001786443027951834,-0.01889066150188401,-0.013887345618264324,-0.13157913088413165,-0.01577210632742365,-0.12188959455166903
2018-12-21,51.872500681877135,1,700,350.0,36310.750477313995,110309.3006849289,146620.0511622429,-0.0037124616053550996,-0.02253299225171357,-0.02921386218776434,-0.15694905847546115,-0.020588228309714296,-0.139968332060175
2018-12-24,50.84199929237366,1,700,0.0,35589.39950466156,110309.3006849289,145898.70018959045,-0.004919865781892407,-0.027341998736063133,-0.019866044165160246,-0.17369714571326755,-0.027112254452099527,-0.16328572947822306
2018-12-26,53.22749900817871,0,350,-350.0,18629.62465286255,128938.92533779144,147568.549990654,0.011445268524624463,-0.016209666728972838,0.04691986446258567,-0.13492712778508642,0.04959374278953943,-0.12178993715762898
2018-12-27,53.497500467300405,0,350,0.0,18724.12516355514,128938.92533779144,147663.0505013466,0.0006403838128015149,-0.015579663324355453,0.005072593380354151,-0.13053896485996508,0.008562680784222065,-0.11427010472801813
2018-12-28,53.42350111007689,0,350,0.0,18698.225388526913,128938.92533779144,147637.15072631836,-0.00017539780561415252,-0.015752328491210332,-0.0013832301804220792,-0.13174162960447178,-0.0012415825080966947,-0.11536981147288616
2018-12-31,53.80374962091446,0,350,0.0,18831.31236732006,128938.92533779144,147770.2377051115,0.000901446405179307,-0.014865081965922622,0.007117626193275495,-0.12556169108481385,0.00849248413140935,-0.10785710363465395
2019-01-02,53.927500104904176,0,350,0.0,18874.62503671646,128938.92533779144,147813.5503745079,0.0002931082068287072,-0.01457633083661336,0.002300034567509268,-0.1235504527471546,0.0012684969251244294,-0.10672542311384292
2019-01-03,51.76299984455109,0,350,0.0,18117.04994559288,128938.92533779144,147055.97528338432,-0.005125207325066938,-0.01962683144410393,-0.040137226019053784,-0.1587287063195394,-0.02475673039503723,-0.12883998098255445
2019-01-04,53.58150007724762,0,350,0.0,18753.525027036667,128938.92533779144,147692.4503648281,0.004328114381052961,-0.015383664234478678,0.035131275972367204,-0.1291737723336207,0.03433571464262353,-0.09892807916150892
2019-01-07,54.02499916553497,0,350,0.0,18908.74970793724,128938.92533779144,147847.67504572868,0.0010509994283196544,-0.014348833028474894,0.008277093542509384,-0.12196586218795546,0.007010434848680358,-0.09261117316649536
2019-01-08,54.407999944686885,0,350,0.0,19042.79998064041,128938.92533779144,147981.72531843185,0.0009066782596460765,-0.013455164543787035,0.007089325035959382,-0.11574119279233752,0.009695285023358924,-0.08381377986333327
2019-01-09,54.9755006313324,0,350,0.0,19241.42522096634,128938.92533779144,148180.35055875778,0.0013422281697184069,-0.012130996274947514,0.010430464035113607,-0.10651796310602557,0.004098045450532162,-0.08005920709206193
2019-01-10,55.10199973583221,0,350,0.0,19285.69990754127,128938.92533779144,148224.62524533272,0.000298789187689108,-0.01183583169778124,0.002301008686544037,-0.1044620531778615,0.004518418782931244,-0.07590252933420205
2019-01-11,55.034000468254085,0,350,0.0,19261.90016388893,128938.92533779144,148200.82550168037,-0.00016056538252640085,-0.011994496655463593,-0.001234061702009459,-0.10556720226073091,-0.00014629784190933748,-0.07603772279987431
2019-01-14,54.63350045680999,0,350,0.0,19121.725159883496,128938.92533779144,148060.65049767494,-0.0009458449609233144,-0.012928996682166516,-0.007277319621260658,-0.11207627560961797,-0.005257525167898014,-0.08089547772644234
