index,close,BB_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-01-10,242.5840009689331,0,200,200.0,48516.80019378662,101483.19980621338,150000.0,,,,
2022-01-11,244.59199523925778,0,200,0.0,48918.399047851555,101483.19980621338,150401.59885406494,0.0026773256937662193,0.0026773256937662193,0.008277521445372749,0.008277521445372749
2022-01-12,245.19999446868897,0,200,0.0,49039.99889373779,101483.19980621338,150523.19869995117,0.0008085010186906771,0.0034879913330077006,0.002485769122724024,0.01078386657531838
2022-01-13,242.53299713134766,0,200,0.0,48506.59942626953,101483.19980621338,149989.7992324829,-0.003543636277166362,-6.800511678073384e-05,-0.01087682462277495,-0.00021025227295168314
2022-01-14,242.40200023651124,0,200,0.0,48480.400047302246,101483.19980621338,149963.59985351562,-0.00017467440520191335,-0.00024266764322933287,-0.0005401198863075329,-0.0007502585978254039
2022-01-18,238.663000869751,1,400,200.0,95465.20034790039,53750.59963226318,149215.79998016357,-0.00498654256154496,-0.005228000132243005,-0.015424787597099532,-0.016163473615410595
2022-01-19,236.8130048751831,1,400,0.0,94725.20195007324,53750.59963226318,148475.80158233643,-0.0049592496097968786,-0.010161322784424054,-0.007751498924533751,-0.02378968139159776
2022-01-20,234.93400096893313,1,400,0.0,93973.60038757326,53750.59963226318,147724.20001983643,-0.005062114866463352,-0.015171999867757413,-0.007934546952944377,-0.031535468000544964
2022-01-21,231.2280040740967,1,400,0.0,92491.20162963869,53750.59963226318,146241.80126190186,-0.010034908009219246,-0.025054658253987783,-0.015774629809018115,-0.046812637476000396
2022-01-24,231.89969558715822,1,400,0.0,92759.87823486328,53750.59963226318,146510.47786712646,0.001837207986404854,-0.02326348088582375,0.0029048882541331533,-0.044043734702616244
2022-01-25,229.79199962615968,1,400,0.0,91916.79985046387,53750.59963226318,145667.39948272705,-0.0057543896973977215,-0.028884003448486517,-0.009088825906657494,-0.052732254772282605
2022-01-26,229.1199962615967,0,200,-200.0,45823.999252319336,99574.59888458252,145398.59813690186,-0.001845308880228047,-0.03067601242065454,-0.002924398437092024,-0.05550244308593422
2022-01-27,228.08300056457523,0,200,0.0,45616.600112915046,99574.59888458252,145191.19899749756,-0.0014264177375975517,-0.03205867335001655,-0.004525993863222166,-0.05977723323235562
2022-01-28,232.56650047302247,0,200,0.0,46513.30009460449,99574.59888458252,146087.898979187,0.00617599405391589,-0.026080673472086757,0.019657317280767028,-0.041294975991403415
2022-01-31,235.85299625396732,0,200,0.0,47170.599250793464,99574.59888458252,146745.19813537598,0.004499340197113844,-0.02169867909749368,0.014131423804633725,-0.02774710899350641
2022-02-01,237.03800735473632,0,200,0.0,47407.601470947266,99574.59888458252,146982.20035552979,0.0016150594579262822,-0.020118664296468358,0.005024363139711774,-0.022862157405455164
2022-02-02,238.77900276184084,0,200,0.0,47755.80055236817,99574.59888458252,147330.39943695068,0.0023689880854869116,-0.017797337086995713,0.007344794307602598,-0.01568528094142363
2022-02-03,234.30100326538087,0,200,0.0,46860.20065307617,99574.59888458252,146434.7995376587,-0.006078853398312156,-0.02376800308227567,-0.0187537406751227,-0.03414486392535443
2022-02-04,235.26100215911868,0,200,0.0,47052.20043182374,99574.59888458252,146626.79931640625,0.0013111622329784467,-0.02248800455729205,0.004097288873537108,-0.03018747642286712
2022-02-07,234.9189989089966,0,200,0.0,46983.79978179932,99574.59888458252,146558.39866638184,-0.0004664948723105411,-0.02294400889078807,-0.0014537184105454237,-0.03159731074316874
2022-02-08,236.31800231933596,0,200,0.0,47263.600463867195,99574.59888458252,146838.1993484497,0.0019091412338967384,-0.02107867101033567,0.005955258692726284,-0.02583022220991249
2022-02-09,239.0689994812012,0,200,0.0,47813.799896240234,99574.59888458252,147388.39878082275,0.0037469775222958024,-0.017410674794515413,0.01164108165635147,-0.014489832279508286
2022-02-10,235.3200008392334,0,200,0.0,47064.00016784668,99574.59888458252,146638.5990524292,-0.005087237086472185,-0.022409339650472426,-0.01568165947949518,-0.029944267143281245
2022-02-11,231.93400211334227,0,200,0.0,46386.80042266846,99574.59888458252,145961.39930725098,-0.004618154766577454,-0.026924004618327224,-0.014388911753422828,-0.04390231347925844
2022-02-14,231.13700084686283,0,200,0.0,46227.400169372566,99574.59888458252,145801.99905395508,-0.0010920712876995031,-0.02798667297363311,-0.0034363278312680157,-0.04718777856886058
2022-02-15,234.09799995422367,0,200,0.0,46819.599990844734,99574.59888458252,146394.19887542725,0.004061671481287554,-0.024038674163818663,0.012810580290096407,-0.0349817011048319
2022-02-16,234.40400390625,0,200,0.0,46880.80078125,99574.59888458252,146455.39966583252,0.00041805475131795333,-0.023630668894450313,0.0013071617531383861,-0.03372026609343748
2022-02-17,230.52600383758548,0,200,0.0,46105.2007675171,99574.59888458252,145679.7996520996,-0.00529581029789683,-0.028801335652669735,-0.016544086295622873,-0.04970648139689915
2022-02-18,229.27200279235842,0,200,0.0,45854.40055847169,99574.59888458252,145428.9994430542,-0.00172158535119038,-0.030473337046305726,-0.005439737922627419,-0.054875829087671524
2022-02-22,227.20199813842774,0,200,0.0,45440.39962768555,99574.59888458252,145014.99851226807,-0.002846756371642667,-0.03323334325154659,-0.009028597599007315,-0.0634089749079344
2022-02-23,223.91200485229493,1,400,200.0,89564.80194091797,54792.197914123535,144356.9998550415,-0.004537452428901023,-0.0376200009663904,-0.014480476902004713,-0.07697125961340501
2022-02-24,226.75700569152832,0,200,-200.0,45351.401138305664,100143.5990524292,145495.00019073486,0.007883236260355142,-0.03003333206176806,0.012705887927313864,-0.06524335988436325
2022-02-25,230.5844944000244,0,200,0.0,46116.89888000488,100143.5990524292,146260.49793243408,0.005261333658859169,-0.02493001378377313,0.01687925229398579,-0.049465366722372894
2022-02-28,230.79000186920172,0,200,0.0,46158.00037384035,100143.5990524292,146301.59942626953,0.00028101568377292274,-0.0246560038248701,0.0008912458303498294,-0.04861820669386108
2022-03-01,228.54500465393065,0,200,0.0,45709.00093078613,100143.5990524292,145852.59998321533,-0.003068998868194006,-0.02764933344523135,-0.009727445717269023,-0.057872721444644615
2022-03-02,231.15969371795657,0,200,0.0,46231.938743591316,100143.5990524292,146375.5377960205,0.0035853856075609425,-0.02416308135986356,0.011440587240071798,-0.047094232123080615
2022-03-03,230.21200103759767,0,200,0.0,46042.40020751953,100143.5990524292,146185.99925994873,-0.001294878494901952,-0.025426671600342066,-0.00409973151078491,-0.05100088992645435
2022-03-04,228.78900413513185,0,200,0.0,45757.80082702637,100143.5990524292,145901.39987945557,-0.0019468306262837576,-0.027324000803629844,-0.006181245530433643,-0.05686688643398197
2022-03-07,223.40000419616703,0,200,0.0,44680.000839233406,100143.5990524292,144823.5998916626,-0.007387180580059272,-0.034509334055582985,-0.02355445341150164,-0.07908187141831724
2022-03-08,222.0770004272461,0,200,0.0,44415.40008544922,100143.5990524292,144558.99913787842,-0.0018270554935944094,-0.036273339080810874,-0.005922129561641398,-0.08453566789144229
2022-03-09,226.62099781036378,0,200,0.0,45324.199562072754,100143.5990524292,145467.79861450195,0.006286702882860595,-0.03021467590332061,0.020461359683243252,-0.06580402291498899
2022-03-10,225.55599956512452,0,200,0.0,45111.1999130249,100143.5990524292,145254.7989654541,-0.0014642391723567183,-0.03163467356363958,-0.004699468520257932,-0.07019424750105163
2022-03-11,223.25700473785403,0,200,0.0,44651.40094757081,100143.5990524292,144795.0,-0.003165464884664182,-0.034700000000000286,-0.010192567839928834,-0.0796713557113532
2022-03-14,221.5770021438599,0,200,0.0,44315.40042877198,100143.5990524292,144458.99948120117,-0.002320525700465037,-0.03694000345865922,-0.007524971482828935,-0.0865968025144559
2022-03-15,225.31000328063965,0,200,0.0,45062.00065612793,100143.5990524292,145205.59970855713,0.0051682500227554495,-0.031962668609619604,0.01684742144113005,-0.07120831390074123
2022-03-16,229.14299488067627,0,200,0.0,45828.598976135254,100143.5990524292,145972.19802856445,0.005279399152277708,-0.026852013142904085,0.01701207910978697,-0.0554076362603082
2022-03-17,231.30299644470216,0,200,0.0,46260.59928894043,100143.5990524292,146404.19834136963,0.0029594698075359194,-0.023972011057536102,0.009426435074529227,-0.046503497671619876
2022-03-18,233.31400470733644,0,200,0.0,46662.800941467285,100143.5990524292,146806.39999389648,0.002747200265316385,-0.02129066670735713,0.008694259449920416,-0.03821355169578533
