index,close,MACD_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-01-10,112.39850320816039,0,400,400.0,44959.40128326416,105040.59871673584,150000.0,,,,
2022-01-11,113.61599779129028,0,400,0.0,45446.39911651611,105040.59871673584,150486.99783325195,0.0032466522216796356,0.0032466522216796356,0.010831946586291386,0.010831946586291386
2022-01-12,114.24850282669068,0,400,0.0,45699.40113067627,105040.59871673584,150739.9998474121,0.0016812217520645323,0.00493333231608073,0.005567042033660652,0.016459290521904313
2022-01-13,111.91799669265747,0,400,0.0,44767.19867706299,105040.59871673584,149807.79739379883,-0.006184174436492662,-0.0012813507080077224,-0.020398570452765385,-0.004275025928174636
2022-01-14,112.53349819183349,0,400,0.0,45013.3992767334,105040.59871673584,150053.99799346924,0.0016434431581904274,0.00035998662312830554,0.005499575737280882,0.0012010389802354915
2022-01-18,110.1889998435974,0,400,0.0,44075.59993743896,105040.59871673584,149116.1986541748,-0.0062497457704209225,-0.005892008972167906,-0.020833781815255303,-0.01965776501908567
2022-01-19,108.73500146865845,0,400,0.0,43494.00058746338,105040.59871673584,148534.59930419922,-0.003900309659344292,-0.009769337972005077,-0.013195494804406627,-0.03259386588731672
2022-01-20,107.42100248336791,0,400,0.0,42968.40099334717,105040.59871673584,148008.999710083,-0.003538566748611749,-0.013273335266113184,-0.01208441594282117,-0.044284403997571054
2022-01-21,105.55700149536133,0,400,0.0,42222.80059814453,105040.59871673584,147263.39931488037,-0.005037534181455916,-0.01824400456746411,-0.01735229559317497,-0.06086826352241259
2022-01-24,105.87270250320435,0,400,0.0,42349.08100128174,105040.59871673584,147389.67971801758,0.0008575138406738958,-0.017402135213216097,0.0029908106839970916,-0.05805949829127466
2022-01-25,103.98599615097045,0,400,0.0,41594.39846038818,105040.59871673584,146634.99717712402,-0.0051203214657729035,-0.022433352152506525,-0.017820517542534664,-0.07484536552599885
2022-01-26,104.18699588775635,0,400,0.0,41674.79835510254,105040.59871673584,146715.39707183838,0.0005482994937233698,-0.021897352854410856,0.0019329500531406474,-0.07305708782612896
2022-01-27,103.28650236129761,0,400,0.0,41314.60094451904,105040.59871673584,146355.19966125488,-0.0024550757301029513,-0.02429866892496746,-0.008643051071641206,-0.08106870275654354
2022-01-28,107.41399936676027,0,400,0.0,42965.59974670411,105040.59871673584,148006.19846343994,0.01128076628644803,-0.01329201024373372,0.039961630136575055,-0.044346710135177436
2022-01-31,109.68450117111206,0,400,0.0,43873.800468444824,105040.59871673584,148914.39918518066,0.0061362343683535325,-0.007237338765462287,0.021137857427682816,-0.024146247143718824
2022-02-01,109.78099946975708,1,800,400.0,87824.79957580566,61128.19892883301,148952.99850463867,0.00025920474896468093,-0.00698000996907544,0.0008797806218261428,-0.023287709922219513
2022-02-02,110.85300331115722,1,800,0.0,88682.40264892578,61128.19892883301,149810.6015777588,0.005757541517993792,-0.001262656148274588,0.00976493060345529,-0.013750182190068072
2022-02-03,108.14550275802611,1,800,0.0,86516.40220642088,61128.19892883301,147644.6011352539,-0.014458258759348364,-0.015702659098307148,-0.024424241763945087,-0.037838586179904654
2022-02-04,108.56150236129761,1,800,0.0,86849.20188903809,61128.19892883301,147977.4008178711,0.002254059275166531,-0.013483994547525913,0.003846665766604307,-0.0341374728074153
2022-02-07,108.1039969444275,1,800,0.0,86483.19755554199,61128.19892883301,147611.396484375,-0.002473379931483999,-0.015924023437499768,-0.004214250972204847,-0.038207859901652874
2022-02-08,108.98149948120117,1,800,0.0,87185.19958496094,61128.19892883301,148313.39851379395,0.004755744110132243,-0.011244009908039976,0.00811720714845321,-0.030400793866720455
2022-02-09,111.46749868392945,1,800,0.0,89173.99894714355,61128.19892883301,150302.19787597656,0.013409438271335006,0.0020146525065107834,0.02281120387003943,-0.008283068703385799
2022-02-10,108.67750205993651,1,800,0.0,86942.00164794922,61128.19892883301,148070.20057678223,-0.014850064275414576,-0.012865329488118138,-0.025029687190739613,-0.03310543327550031
2022-02-11,106.13800010681152,1,800,0.0,84910.40008544922,61128.19892883301,146038.59901428223,-0.013720529550079963,-0.02640933990478489,-0.023367319868324188,-0.055699167895096435
