index,close,RSI_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-01-10,242.5840009689331,0,200,200.0,48516.80019378662,101483.19980621338,150000.0,,,,
2022-01-11,244.59199523925778,0,200,0.0,48918.399047851555,101483.19980621338,150401.59885406494,0.0026773256937662193,0.0026773256937662193,0.008277521445372749,0.008277521445372749
2022-01-12,245.19999446868897,0,200,0.0,49039.99889373779,101483.19980621338,150523.19869995117,0.0008085010186906771,0.0034879913330077006,0.002485769122724024,0.01078386657531838
2022-01-13,242.53299713134766,0,200,0.0,48506.59942626953,101483.19980621338,149989.7992324829,-0.003543636277166362,-6.800511678073384e-05,-0.01087682462277495,-0.00021025227295168314
2022-01-14,242.40200023651124,0,200,0.0,48480.400047302246,101483.19980621338,149963.59985351562,-0.00017467440520191335,-0.00024266764322933287,-0.0005401198863075329,-0.0007502585978254039
2022-01-18,238.663000869751,0,200,0.0,47732.600173950195,101483.19980621338,149215.79998016357,-0.00498654256154496,-0.005228000132243005,-0.015424787597099532,-0.016163473615410595
2022-01-19,236.8130048751831,0,200,0.0,47362.60097503662,101483.19980621338,148845.80078125,-0.0024796248048983838,-0.007694661458333418,-0.007751498924533751,-0.02378968139159776
2022-01-20,234.93400096893313,0,200,0.0,46986.80019378663,101483.19980621338,148470.0,-0.002524765759447156,-0.010199999999999987,-0.007934546952944377,-0.031535468000544964
2022-01-21,231.2280040740967,1,400,200.0,92491.20162963869,55237.59899139404,147728.80062103271,-0.004992250144590038,-0.015141329193115172,-0.015774629809018115,-0.046812637476000396
2022-01-24,231.89969558715822,1,400,0.0,92759.87823486328,55237.59899139404,147997.47722625732,0.0018187151326967133,-0.01335015182495114,0.0029048882541331533,-0.044043734702616244
2022-01-25,229.79199962615968,1,400,0.0,91916.79985046387,55237.59899139404,147154.3988418579,-0.005696572672725497,-0.018970674387613906,-0.009088825906657494,-0.052732254772282605
2022-01-26,229.1199962615967,1,400,0.0,91647.99850463867,55237.59899139404,146885.59749603271,-0.0018266619818416707,-0.02076268335978182,-0.002924398437092024,-0.05550244308593422
2022-01-27,228.08300056457523,1,400,0.0,91233.20022583009,55237.59899139404,146470.79921722412,-0.002823954736745349,-0.023528005218505732,-0.004525993863222166,-0.05977723323235562
2022-01-28,232.56650047302247,0,200,-200.0,46513.30009460449,101750.89908599854,148264.19918060303,0.012244078498671929,-0.011572005462646362,0.019657317280767028,-0.041294975991403415
2022-01-31,235.85299625396732,0,200,0.0,47170.599250793464,101750.89908599854,148921.498336792,0.004433296505977902,-0.007190011088053172,0.014131423804633725,-0.02774710899350641
2022-02-01,237.03800735473632,0,200,0.0,47407.601470947266,101750.89908599854,149158.5005569458,0.0015914573973585533,-0.005609996287027741,0.005024363139711774,-0.022862157405455164
2022-02-02,238.77900276184084,0,200,0.0,47755.80055236817,101750.89908599854,149506.6996383667,0.002334423315605516,-0.0032886690775550953,0.007344794307602598,-0.01568528094142363
2022-02-03,234.30100326538087,0,200,0.0,46860.20065307617,101750.89908599854,148611.0997390747,-0.005990366327785379,-0.009259335072835051,-0.0187537406751227,-0.03414486392535443
2022-02-04,235.26100215911868,0,200,0.0,47052.20043182374,101750.89908599854,148803.09951782227,0.0012919612268844638,-0.007979336547851434,0.004097288873537108,-0.03018747642286712
2022-02-07,234.9189989089966,0,200,0.0,46983.79978179932,101750.89908599854,148734.69886779785,-0.0004596722127835351,-0.008435340881347453,-0.0014537184105454237,-0.03159731074316874
2022-02-08,236.31800231933596,0,200,0.0,47263.600463867195,101750.89908599854,149014.49954986572,0.0018812064985358479,-0.006570003000894942,0.005955258692726284,-0.02583022220991249
2022-02-09,239.0689994812012,0,200,0.0,47813.799896240234,101750.89908599854,149564.69898223877,0.0036922543379003248,-0.0029020067850746845,0.01164108165635147,-0.014489832279508286
2022-02-10,235.3200008392334,0,200,0.0,47064.00016784668,101750.89908599854,148814.89925384521,-0.0050132132347794345,-0.007900671641031809,-0.01568165947949518,-0.029944267143281245
2022-02-11,231.93400211334227,0,200,0.0,46386.80042266846,101750.89908599854,148137.699508667,-0.004550617905691445,-0.012415336608886607,-0.014388911753422828,-0.04390231347925844
2022-02-14,231.13700084686283,0,200,0.0,46227.400169372566,101750.89908599854,147978.2992553711,-0.0010760276001624547,-0.013478004964192603,-0.0034363278312680157,-0.04718777856886058
2022-02-15,234.09799995422367,0,200,0.0,46819.599990844734,101750.89908599854,148570.49907684326,0.004001936935700279,-0.009530006154378046,0.012810580290096407,-0.0349817011048319
2022-02-16,234.40400390625,0,200,0.0,46880.80078125,101750.89908599854,148631.69986724854,0.00041193097408664947,-0.009122000885009585,0.0013071617531383861,-0.03372026609343748
2022-02-17,230.52600383758548,0,200,0.0,46105.2007675171,101750.89908599854,147856.09985351562,-0.005218267801724963,-0.014292667643229007,-0.016544086295622873,-0.04970648139689915
2022-02-18,229.27200279235842,0,200,0.0,45854.40055847169,101750.89908599854,147605.29964447021,-0.0016962452634275982,-0.015964669036864998,-0.005439737922627419,-0.054875829087671524
2022-02-22,227.20199813842774,0,200,0.0,45440.39962768555,101750.89908599854,147191.29871368408,-0.0028047836478996002,-0.01872467524210586,-0.009028597599007315,-0.0634089749079344
2022-02-23,223.91200485229493,0,200,0.0,44782.400970458984,101750.89908599854,146533.30005645752,-0.004470363825693879,-0.02311133295694956,-0.014480476902004713,-0.07697125961340501
2022-02-24,226.75700569152832,0,200,0.0,45351.401138305664,101750.89908599854,147102.3002243042,0.003883077550477898,-0.019317998504638445,0.012705887927313864,-0.06524335988436325
2022-02-25,230.5844944000244,0,200,0.0,46116.89888000488,101750.89908599854,147867.79796600342,0.005203846170535487,-0.014214680226643739,0.01687925229398579,-0.049465366722372894
2022-02-28,230.79000186920172,0,200,0.0,46158.00037384035,101750.89908599854,147908.89945983887,0.00027796108686817256,-0.013940670267740818,0.0008912458303498294,-0.04861820669386108
2022-03-01,228.54500465393065,0,200,0.0,45709.00093078613,101750.89908599854,147459.90001678467,-0.003035648596493745,-0.01693399988810207,-0.009727445717269023,-0.057872721444644615
2022-03-02,231.15969371795657,0,200,0.0,46231.938743591316,101750.89908599854,147982.83782958984,0.003546305217524637,-0.013447747802734167,0.011440587240071798,-0.047094232123080615
2022-03-03,230.21200103759767,0,200,0.0,46042.40020751953,101750.89908599854,147793.29929351807,-0.0012808143082784218,-0.014711338043212674,-0.00409973151078491,-0.05100088992645435
2022-03-04,228.78900413513185,0,200,0.0,45757.80082702637,101750.89908599854,147508.6999130249,-0.0019256582122031407,-0.016608667246500453,-0.006181245530433643,-0.05686688643398197
2022-03-07,223.40000419616703,0,200,0.0,44680.000839233406,101750.89908599854,146430.89992523193,-0.007306687594890837,-0.023794000498453594,-0.02355445341150164,-0.07908187141831724
2022-03-08,222.0770004272461,0,200,0.0,44415.40008544922,101750.89908599854,146166.29917144775,-0.0018070008032409213,-0.025558005523681482,-0.005922129561641398,-0.08453566789144229
2022-03-09,226.62099781036378,0,200,0.0,45324.199562072754,101750.89908599854,147075.0986480713,0.0062175719148334085,-0.019499342346191217,0.020461359683243252,-0.06580402291498899
2022-03-10,225.55599956512452,0,200,0.0,45111.1999130249,101750.89908599854,146862.09899902344,-0.001448237335930913,-0.0209193400065103,-0.004699468520257932,-0.07019424750105163
2022-03-11,223.25700473785403,0,200,0.0,44651.40094757081,101750.89908599854,146402.30003356934,-0.0031308211484649684,-0.023984666442871005,-0.010192567839928834,-0.0796713557113532
2022-03-14,221.5770021438599,0,200,0.0,44315.40042877198,101750.89908599854,146066.2995147705,-0.0022950494542899325,-0.02622466990152994,-0.007524971482828935,-0.0865968025144559
2022-03-15,225.31000328063965,0,200,0.0,45062.00065612793,101750.89908599854,146812.89974212646,0.00511137907810455,-0.021247335052490324,0.01684742144113005,-0.07120831390074123
2022-03-16,229.14299488067627,0,200,0.0,45828.598976135254,101750.89908599854,147579.4980621338,0.005221600563396267,-0.016136679585774805,0.01701207910978697,-0.0554076362603082
2022-03-17,231.30299644470216,0,200,0.0,46260.59928894043,101750.89908599854,148011.49837493896,0.002927237986832587,-0.013256677500407044,0.009426435074529227,-0.046503497671619876
2022-03-18,233.31400470733644,0,200,0.0,46662.800941467285,101750.89908599854,148413.70002746582,0.002717367616318578,-0.010575333150228072,0.008694259449920416,-0.03821355169578533
