index,close,RSI_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-01-10,70.83800106048584,0,650,650.0,46044.700689315796,103955.2993106842,150000.0,,,,
2022-01-11,71.36799926757814,0,650,0.0,46389.199523925796,103955.2993106842,150344.49883460999,0.002296658897399828,0.002296658897399828,0.007481834596656078,0.007481834596656078
2022-01-12,71.65200099945068,0,650,0.0,46573.80064964294,103955.2993106842,150529.09996032715,0.0012278542091535005,0.003527333068847449,0.003979398817216984,0.011491006617617705
2022-01-13,70.68099899291991,0,650,0.0,45942.64934539794,103955.2993106842,149897.94865608215,-0.004192885657400058,-0.0006803422927859071,-0.013551638376968822,-0.002216353725620457
2022-01-14,70.87199916839597,0,650,0.0,46066.79945945738,103955.2993106842,150022.0987701416,0.000828230907577554,0.00014732513427695437,0.0027022846054454153,0.00047994166127196536
2022-01-18,69.71499977111816,0,650,0.0,45314.7498512268,103955.2993106842,149270.049161911,-0.005012925524944478,-0.004866338920593627,-0.01632519769237384,-0.015853091173602896
2022-01-19,69.23700084686278,1,1300,650.0,90008.10110092162,58951.24876022339,148959.34986114502,-0.0020814577506367282,-0.006937667592366914,-0.006856471718062029,-0.022600866620389293
2022-01-20,69.01200237274169,1,1300,0.0,89715.6030845642,58951.24876022339,148666.8518447876,-0.001963609646726261,-0.008887654368083031,-0.0032496854480849047,-0.025777106361103863
2022-01-21,68.10199928283691,1,1300,0.0,88532.59906768799,58951.24876022339,147483.84782791138,-0.00795741621078594,-0.016774347813924506,-0.013186156880215516,-0.038623362272923845
2022-01-24,68.30770111083984,1,1300,0.0,88800.0114440918,58951.24876022339,147751.2602043152,0.0018131638165275188,-0.014991598637899006,0.003020496169996667,-0.035719527820744945
2022-01-25,67.46599941253662,1,1300,0.0,87705.79923629761,58951.24876022339,146657.047996521,-0.007405772419680767,-0.022286346689860292,-0.012322207959208464,-0.04760159232994143
2022-01-26,67.50199775695802,1,1300,0.0,87752.59708404542,58951.24876022339,146703.8458442688,0.00031909716162381585,-0.021974361038208157,0.0005335775758879002,-0.0470934138962974
2022-01-27,67.20700187683104,1,1300,0.0,87369.10243988036,58951.24876022339,146320.35120010376,-0.0026140735572272034,-0.024530991999308416,-0.004370179993621992,-0.05125778719467844
2022-01-28,68.71049919128419,0,650,-650.0,44661.824474334724,103613.0732345581,148274.89770889282,0.013357994925231376,-0.011500681940714741,0.022371140989276173,-0.03003334138953273
2022-01-31,69.44700107574465,0,650,0.0,45140.55069923402,103613.0732345581,148753.6239337921,0.0032286397245686604,-0.008309173774719514,0.010718913312070422,-0.01963635286028853
2022-02-01,69.48200073242187,0,650,0.0,45163.30047607421,103613.0732345581,148776.37371063232,0.00015293595032228602,-0.008157508595784901,0.0005039765020096176,-0.019142272618705714
2022-02-02,69.70300025939942,0,650,0.0,45306.95016860962,103613.0732345581,148920.02340316772,0.0009655410261228958,-0.007199843978882181,0.0031806730469468025,-0.016022484882334487
2022-02-03,68.44900131225586,0,650,0.0,44491.85085296631,103613.0732345581,148104.9240875244,-0.005473403085873851,-0.0126338394165042,-0.017990602161697566,-0.0337248328928722
2022-02-04,68.79300060272217,0,650,0.0,44715.45039176942,103613.0732345581,148328.52362632751,0.0015097373715338147,-0.011143175824483431,0.005025629065017689,-0.028868692328253842
2022-02-07,68.77099857330322,0,650,0.0,44701.14907264709,103613.0732345581,148314.2223072052,-9.641651364600268e-05,-0.01123851795196551,-0.00031982947721698185,-0.02917928874669551
2022-02-08,69.15,0,650,0.0,44947.50000000001,103613.0732345581,148560.5732345581,0.0016610067700899567,-0.009596178436279579,0.005511064759264883,-0.023829032937342953
2022-02-09,70.02499923706056,0,650,0.0,45516.24950408936,103613.0732345581,149129.32273864746,0.0038284013833964625,-0.005804515075683914,0.012653640449176384,-0.011476916503207257
2022-02-10,68.82599983215331,0,650,0.0,44736.89989089965,103613.0732345581,148349.97312545776,-0.0052259984748641575,-0.011000179163615176,-0.017122447953882625,-0.02840285155159261
2022-02-11,67.88799991607667,0,650,0.0,44127.19994544984,103613.0732345581,147740.27318000793,-0.004109875671728047,-0.015064845466614019,-0.013628569412201141,-0.041644330729918466
2022-02-14,67.71099910736085,0,650,0.0,44012.14941978455,103613.0732345581,147625.22265434265,-0.0007787350272806526,-0.015831848971049278,-0.002607247362341303,-0.044143001020807704
2022-02-15,68.6840015411377,0,650,0.0,44644.60100173951,103613.0732345581,148257.6742362976,0.004284170215518079,-0.011615505091349565,0.014369931718686946,-0.030407401212647733
2022-02-16,68.72000122070312,0,650,0.0,44668.00079345703,103613.0732345581,148281.07402801514,0.00015783190879026243,-0.011459506479899462,0.0005241348604865248,-0.02989920393115353
2022-02-17,67.57399883270264,0,650,0.0,43923.09924125672,103613.0732345581,147536.17247581482,-0.005023578073487522,-0.01642551682790161,-0.016676402323101636,-0.046076995100358786
2022-02-18,67.2580005645752,0,650,0.0,43717.70036697388,103613.0732345581,147330.77360153198,-0.0013921933234136707,-0.017794842656453813,-0.0046763292625287,-0.05053785316237025
2022-02-22,66.70400009155273,0,650,0.0,43357.60005950927,103613.0732345581,146970.67329406738,-0.0024441621981740047,-0.020195511372884445,-0.00823694532058783,-0.05835852094983973
2022-02-23,65.91399993896484,0,650,0.0,42844.09996032714,103613.0732345581,146457.17319488525,-0.003493894990565183,-0.023618845367431973,-0.011843369985362173,-0.06951072937979441
2022-02-24,67.02900047302246,0,650,0.0,43568.8503074646,103613.0732345581,147181.9235420227,0.004948547970218264,-0.018787176386515614,0.016915989548352384,-0.05377058260312895
2022-02-25,67.45250205993653,0,650,0.0,43844.12633895875,103613.0732345581,147457.19957351685,0.0018703114137215149,-0.016952002843221403,0.00631818442652321,-0.04779213063421395
2022-02-28,67.85400028228759,0,650,0.0,44105.10018348693,103613.0732345581,147718.17341804504,0.0017698277553284125,-0.015212177213033362,0.0059523102937573125,-0.04212429393159123
2022-03-01,67.7450008392334,0,650,0.0,44034.25054550171,103613.0732345581,147647.3237800598,-0.0004796270922245993,-0.01568450813293487,-0.0016063819760180342,-0.04366300820108504
2022-03-02,68.05769939422608,0,650,0.0,44237.50460624695,103613.0732345581,147850.57784080505,0.001376618658174955,-0.014329481061300053,0.004615817420015267,-0.039248731254934666
2022-03-03,67.39800033569335,0,650,0.0,43808.700218200676,103613.0732345581,147421.7734527588,-0.002900255070412805,-0.01718817698160846,-0.009693231837170968,-0.048561516040736774
2022-03-04,66.9550006866455,0,650,0.0,43520.75044631958,103613.0732345581,147133.8236808777,-0.0019532377418683966,-0.01910784212748251,-0.006572890098242912,-0.05481521663103983
2022-03-07,65.6340015411377,0,650,0.0,42662.10100173951,103613.0732345581,146275.1742362976,-0.0058358399387650195,-0.02483217175801633,-0.01972965621627243,-0.07346338746776138
2022-03-08,65.31300048828125,0,650,0.0,42453.45031738281,103613.0732345581,146066.52355194092,-0.0014264258131706509,-0.02622317632039428,-0.004890773765412804,-0.07799486842502845
2022-03-09,66.53500003814698,0,650,0.0,43247.75002479553,103613.0732345581,146860.82325935364,0.00543793121173497,-0.02092784493764277,0.018709897581339563,-0.060744246843791205
2022-03-10,65.73000011444091,0,650,0.0,42724.50007438659,103613.0732345581,146337.5733089447,-0.0035628967535126232,-0.0244161779403691,-0.012098894164643048,-0.07210820279476027
2022-03-11,65.14499988555909,0,650,0.0,42344.24992561341,103613.0732345581,145957.3231601715,-0.002598445089494694,-0.026951178932190456,-0.008900049107915642,-0.08036648535671898
2022-03-14,64.33099918365478,0,650,0.0,41815.14946937561,103613.0732345581,145428.22270393372,-0.0036250353513072042,-0.0304785153071091,-0.012495213805115757,-0.09185750274453686
2022-03-15,65.36199989318848,0,650,0.0,42485.29993057252,103613.0732345581,146098.37316513062,0.004608118346885126,-0.02601084556579647,0.016026499240130887,-0.07730315770234164
2022-03-16,66.44699878692627,0,650,0.0,43190.549211502075,103613.0732345581,146803.62244606018,0.0048272219987859355,-0.021309183692932776,0.016599842347401417,-0.0619865355857554
2022-03-17,66.73300132751466,0,650,0.0,43376.45086288453,103613.0732345581,146989.52409744263,0.0012663287750325214,-0.02006983935038309,0.00430422059400315,-0.057949118714771375
2022-03-18,67.49000263214111,0,650,0.0,43868.50171089172,103613.0732345581,147481.57494544983,0.0033475232403705757,-0.01678950036366844,0.01134373232984398,-0.047262745676378115
2022-03-21,67.15000019073486,0,650,0.0,43647.500123977654,103613.0732345581,147260.57335853577,-0.001498503029926268,-0.01826284427642877,-0.005037819353178263,-0.05206246385470359
2022-03-22,67.5790002822876,0,650,0.0,43926.35018348694,103613.0732345581,147539.42341804504,0.0018935826008932288,-0.016403843879700175,0.006388683400360362,-0.04600639105295368
2022-03-23,67.16099967956544,0,650,0.0,43654.64979171754,103613.0732345581,147267.72302627563,-0.00184154435116346,-0.018215179824829564,-0.006185362331139976,-0.05190718718588305
2022-03-24,68.12099971771241,0,650,0.0,44278.64981651307,103613.0732345581,147891.72305107117,0.004237181182493055,-0.014055179659525963,0.014294010552660996,-0.03835513851461603
2022-03-25,67.94099998474121,0,650,0.0,44161.64999008179,103613.0732345581,147774.7232246399,-0.0007911181506139453,-0.014835178502401125,-0.0026423530734589473,-0.04089614376993789
2022-03-28,68.52800178527832,0,650,0.0,44543.20116043091,103613.0732345581,148156.274394989,0.002581978582149702,-0.012291504033406953,0.008639875784415052,-0.03260960558775672
2022-03-29,69.1619993209839,0,650,0.0,44955.299558639534,103613.0732345581,148568.37279319763,0.002781511615970844,-0.009544181378682737,0.009251656537310193,-0.023659641921161656
2022-03-30,68.65200061798096,0,650,0.0,44623.80040168762,103613.0732345581,148236.87363624573,-0.0022312902182306527,-0.011754175758362129,-0.007373972817587449,-0.030859149182348555
2022-03-31,68.226997756958,0,650,0.0,44347.5485420227,103613.0732345581,147960.6217765808,-0.0018635839578133861,-0.013595854822794906,-0.0061906842800972806,-0.03685879421270555
2022-04-01,68.20000114440917,0,650,0.0,44330.00074386596,103613.0732345581,147943.07397842407,-0.00011859775895806113,-0.013712840143839888,-0.0003956881210719354,-0.03723989774675052
