index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2022-01-10,131.48950490951538,1,700,0.0,92042.65343666077,99764.32706713676,191806.98050379753,-0.00026904086670598293,0.27871320335865635
2022-01-11,133.1289978981018,1,700,0.0,93190.29852867126,99764.32706713676,192954.62559580803,0.005983333291604387,0.2863641706387263
2022-01-12,133.88500385284422,1,700,0.0,93719.50269699095,99764.32706713676,193483.82976412773,0.0027426353044692764,0.28989219842752445
2022-01-13,130.5674964904785,1,700,0.0,91397.24754333495,99764.32706713676,191161.57461047173,-0.01200232162288195,0.27441049740315093
2022-01-14,131.57899618148804,1,700,0.0,92105.29732704163,99764.32706713676,191869.6243941784,0.0037039336234254705,0.2791308292945289
2022-01-18,128.50399932861328,1,700,0.0,89952.7995300293,99764.32706713676,189717.12659716606,-0.011218543861795549,0.26478084398111323
2022-01-19,126.88750324249267,1,700,0.0,88821.25226974487,99764.32706713676,188585.57933688164,-0.0059643917266736235,0.257237195579217
2022-01-20,125.59550495147705,1,700,0.0,87916.85346603394,99764.32706713676,187681.1805331707,-0.0047956943839028154,0.251207870221144
2022-01-21,122.8995012283325,1,700,0.0,86029.65085983275,99764.32706713676,185793.97792696953,-0.010055364106512643,0.23862651951313607
2022-01-24,123.45255336761474,1,700,0.0,86416.78735733032,99764.32706713676,186181.1144244671,0.0020836870054514733,0.24120742949645324
2022-01-25,120.87699508666992,1,700,0.0,84613.89656066895,99764.32706713676,184378.2236278057,-0.009683532093115677,0.2291881575187107
2022-01-26,121.51849489212034,1,700,0.0,85062.94642448424,99764.32706713676,184827.27349162102,0.0024354821029286544,0.23218182327747927
2022-01-27,120.62450332641602,1,700,0.0,84437.15232849121,99764.32706713676,184201.47939562798,-0.003385831994223598,0.22800986263752554
2022-01-28,125.51874999999998,1,700,0.0,87863.12499999999,99764.32706713676,187627.45206713676,0.018599050793454808,0.2508496804475844
2022-01-31,128.42050085067746,1,700,0.0,89894.35059547421,99764.32706713676,189658.67766261098,0.010825844369231286,0.2643911844174127
2022-02-01,128.7334997177124,1,700,0.0,90113.44980239867,99764.32706713676,189877.77686953545,0.001155229012585579,0.26585184579690924
2022-02-02,129.57100429534913,1,700,0.0,90699.70300674438,99764.32706713676,190464.03007388115,0.0030875293255014924,0.26976020049254745
2022-02-03,126.08500471115111,1,700,0.0,88259.50329780579,99764.32706713676,188023.83036494255,-0.012811866408539374,0.25349220243295667
2022-02-04,127.02000427246091,1,700,0.0,88914.00299072264,99764.32706713676,188678.33005785942,0.003480940110870634,0.2578555337190691
2022-02-07,126.66649513244629,0,350,-350.0,44333.2732963562,144097.60036349297,188430.87365984917,-0.0013115252712612158,0.25620582439900086
2022-02-08,128.11249990463256,0,350,0.0,44839.37496662139,144097.60036349297,188936.97533011436,0.0026858744558961867,0.25957983553410213
2022-02-09,130.75199851989746,0,350,0.0,45763.19948196411,144097.60036349297,189860.79984545708,0.004889590900503116,0.26573866563638693
2022-02-10,127.53050270080567,0,350,0.0,44635.67594528198,144097.60036349297,188733.27630877495,-0.005938685276791755,0.25822184205850607
2022-02-11,123.98349952697754,0,350,0.0,43394.22483444214,144097.60036349297,187491.8251979351,-0.006577807237388211,0.24994550131957372
2022-02-14,123.91749744415281,0,350,0.0,43371.124105453484,144097.60036349297,187468.72446894646,-0.0001232092597330814,0.2497914964596495
2022-02-15,127.00150260925291,0,350,0.0,44450.52591323852,144097.60036349297,188548.1262767315,0.0057577700538729015,0.25698750851154983
2022-02-16,126.89749994277955,0,350,0.0,44414.12497997284,144097.60036349297,188511.7253434658,-0.00019305910901634693,0.2567448356231119
2022-02-17,123.2015001296997,0,350,0.0,43120.52504539489,144097.60036349297,187218.12540888786,-0.006862172271889344,0.24812083605925883
2022-02-18,121.97250156402588,0,350,0.0,42690.37554740906,144097.60036349297,186787.97591090202,-0.002297584686559495,0.2452531727393532
2022-02-22,120.83549919128419,0,350,0.0,42292.42471694946,144097.60036349297,186390.02508044243,-0.0021304949021420105,0.24260016720295585
2022-02-23,118.16399984359741,0,350,0.0,41357.399945259094,144097.60036349297,185455.00030875206,-0.005016495766266615,0.2363666687250201
2022-02-24,121.86999912261963,0,350,0.0,42654.49969291687,144097.60036349297,186752.10005640984,0.006994148151833635,0.2450140003760719
2022-02-25,123.3362543106079,0,350,0.0,43167.68900871276,144097.60036349297,187265.28937220573,0.002747970789302334,0.2484352624813777
2022-02-28,123.57150535583494,0,350,0.0,43250.02687454223,144097.60036349297,187347.6272380352,0.00043968567856600416,0.2489841815869076
2022-03-01,121.8615036010742,0,350,0.0,42651.52626037597,144097.60036349297,186749.12662386894,-0.0031945993818530694,0.24499417749246577
2022-03-02,124.14804582595825,0,350,0.0,43451.81603908539,144097.60036349297,187549.41640257835,0.004285373608848397,0.2503294426838618
2022-03-03,122.58049888610839,0,350,0.0,42903.17461013793,144097.60036349297,187000.7749736309,-0.0029253166417205767,0.24667183315754548
2022-03-04,120.67349996566772,0,350,0.0,42235.7249879837,144097.60036349297,186333.32535147667,-0.0035692345245540436,0.2422221690098505
2022-03-07,117.0510027885437,0,350,0.0,40967.850975990295,144097.60036349297,185065.45133948326,-0.006804333092869208,0.23376967559656103
2022-03-08,116.7670051574707,0,350,0.0,40868.451805114746,144097.60036349297,184966.0521686077,-0.0005371027933961381,0.23310701445739057
2022-03-09,120.44350004196167,0,350,0.0,42155.225014686584,144097.60036349297,186252.82537817955,0.006956807449179259,0.24168550252120302
2022-03-10,118.60499982833862,0,350,0.0,41511.74993991852,144097.60036349297,185609.35030341148,-0.0034548473209010666,0.23739566868941586
2022-03-11,116.61499834060668,0,350,0.0,40815.249419212334,144097.60036349297,184912.8497827053,-0.0037525077242478444,0.232752331884708
2022-03-14,114.30499925613402,0,350,0.0,40006.74973964691,144097.60036349297,184104.35010313988,-0.004372328264452774,0.22736233402093853
2022-03-15,117.59449939727781,0,350,0.0,41158.074789047234,144097.60036349297,185255.6751525402,0.00625365478195028,0.23503783435027414
2022-03-16,121.09649963378905,0,350,0.0,42383.774871826165,144097.60036349297,186481.37523531914,0.006616261994509376,0.24320916823546712
2022-03-17,122.07800455093383,0,350,0.0,42727.301592826836,144097.60036349297,186824.9019563198,0.0018421502982117754,0.24549934637547177
2022-03-18,124.4750051498413,0,350,0.0,43566.25180244445,144097.60036349297,187663.85216593742,0.00449056951633664,0.2510923477729228
2022-03-21,123.97450380325316,0,350,0.0,43391.0763311386,144097.60036349297,187488.67669463158,-0.0009334534556550977,0.24992451129755056
2022-03-22,125.65500488281249,0,350,0.0,43979.251708984375,144097.60036349297,188076.85207247734,0.0031371248024953946,0.253845680483189
2022-03-23,124.18150215148925,0,350,0.0,43463.52575302124,144097.60036349297,187561.1261165142,-0.00274210223257243,0.25040750744343465
2022-03-24,127.33699808120726,0,350,0.0,44567.94932842254,144097.60036349297,188665.5496919155,0.005888339435087486,0.25777033127944327
2022-03-25,127.15350065231323,0,350,0.0,44503.72522830963,144097.60036349297,188601.3255918026,-0.0003404124399912778,0.2573421706120238
2022-03-28,128.64050464630125,0,350,0.0,45024.17662620544,144097.60036349297,189121.7769896984,0.0027595320248292587,0.26081184659799606
2022-03-29,130.97749996185303,0,350,0.0,45842.12498664856,144097.60036349297,189939.72535014153,0.00432498241853807,0.26626483566761694
2022-03-30,129.45050563812256,0,350,0.0,45307.676973342896,144097.60036349297,189405.27733683586,-0.002813776909071808,0.2627018489122457
2022-03-31,127.45249519348144,0,350,0.0,44608.373317718506,144097.60036349297,188705.97368121147,-0.0036921022764363487,0.2580398245414164
2022-04-01,127.32200450897217,0,350,0.0,44562.70157814026,144097.60036349297,188660.30194163322,-0.00024202593424738073,0.25773534627756134
2022-04-04,129.52200088500976,0,350,0.0,45332.70030975342,144097.60036349297,189430.30067324638,0.004081403049229548,0.26286867115498236
2022-04-05,127.06750545501708,0,350,0.0,44473.62690925598,144097.60036349297,188571.22727274895,-0.004535036883984489,0.25714151515166606
2022-04-06,124.13650131225585,0,350,0.0,43447.77545928954,144097.60036349297,187545.37582278252,-0.005440127132877226,0.25030250548522304
2022-04-07,124.33500509262085,0,350,0.0,43517.2517824173,144097.60036349297,187614.85214591026,0.00037045073931007977,0.2507656809727412
2022-04-08,122.7880027770996,0,350,0.0,42975.80097198486,144097.60036349297,187073.40133547783,-0.0028859698698658898,0.24715600890319167
2022-04-11,119.75350522994995,0,350,0.0,41913.72683048248,144097.60036349297,186011.32719397545,-0.005677312402086354,0.240075514626509
2022-04-12,119.41150236129761,0,350,0.0,41794.02582645416,144097.60036349297,185891.62618994713,-0.0006435145957723876,0.23927750793298697
2022-04-13,121.49499521255493,0,350,0.0,42523.248324394226,144097.60036349297,186620.8486878872,0.003922836724204792,0.24413899125258753
2022-04-14,118.83049926757812,0,350,0.0,41590.674743652344,144097.60036349297,185688.2751071453,-0.004997156466165054,0.23792183404764167
2022-04-18,119.37699661254881,0,350,0.0,41781.94881439208,144097.60036349297,185879.54917788506,0.0010300815742372293,0.23919699451924004
2022-04-19,121.26650352478026,0,350,0.0,42443.27623367309,144097.60036349297,186540.87659716606,0.003557827755694243,0.2436058439811135
2022-04-20,121.21650390625,0,350,0.0,42425.7763671875,144097.60036349297,186523.37673068047,-9.381250267948005e-05,0.24348917820454274
2022-04-21,119.30149822235107,0,350,0.0,41755.524377822876,144097.60036349297,185853.12474131584,-0.0035933940351744464,0.23902083160877852
2022-04-22,116.13100128173828,0,350,0.0,40645.8504486084,144097.60036349297,184743.45081210136,-0.005970703644391229,0.23162300541401537
2022-04-25,117.68899698257445,0,350,0.0,41191.148943901055,144097.60036349297,185288.74930739403,0.002951652645306835,0.2352583287159664
2022-04-26,113.75550508499144,0,350,0.0,39814.426779747,144097.60036349297,183912.02714323997,-0.007430144405962125,0.2260801809549393
2022-04-27,115.2379997253418,0,350,0.0,40333.29990386963,144097.60036349297,184430.9002673626,0.0028213115378175058,0.22953933511575686
2022-04-28,119.40750513076782,0,350,0.0,41792.62679576874,144097.60036349297,185890.2271592617,0.007912594309215981,0.23926818106175096
2022-04-29,114.81849889755247,0,350,0.0,40186.474614143364,144097.60036349297,184284.07497763634,-0.008640326100894491,0.22856049985091498
2022-05-02,116.33450498580932,0,350,0.0,40717.076745033264,144097.60036349297,184814.67710852623,0.002879261981559189,0.23209784739018113
2022-05-03,116.34850521087645,0,350,0.0,40721.976823806755,144097.60036349297,184819.57718729973,2.651347203674881e-05,0.2321305145820045
2022-05-04,120.3759964942932,0,350,0.0,42131.598773002625,144097.60036349297,186229.1991364956,0.0076270164159466525,0.24152799424331017
2022-05-05,114.87450466156004,0,350,0.0,40206.07663154601,144097.60036349297,184303.676995039,-0.010339528658152575,0.2286911799669329
2022-05-06,114.02100505828857,0,350,0.0,39907.351770401,144097.60036349297,184004.95213389397,-0.0016208296330032512,0.2266996808926327
2022-05-09,109.37860336303712,0,350,0.0,38282.51117706299,144097.60036349297,182380.11154055595,-0.008830417738733831,0.21586741027037926
2022-05-10,110.85150165557862,0,350,0.0,38798.025579452515,144097.60036349297,182895.62594294548,0.002826593305788716,0.2193041729529761
2022-05-11,107.63300037384033,0,350,0.0,37671.550130844116,144097.60036349297,181769.15049433708,-0.006159116396582398,0.2117943366289201
2022-05-12,106.5295039176941,0,350,0.0,37285.32637119293,144097.60036349297,181382.9267346859,-0.0021248036787365754,0.20921951156457874
2022-05-13,109.86500072479247,0,350,0.0,38452.75025367736,144097.60036349297,182550.35061717033,0.006436239085457318,0.21700233744780828
2022-05-16,108.97300262451171,0,350,0.0,38140.550918579094,144097.60036349297,182238.15128207207,-0.0017102094520375921,0.21492100854715313
2022-05-17,111.71199827194212,0,350,0.0,39099.19939517974,144097.60036349297,183196.7997586727,0.0052604159439524345,0.22131199839115734
2022-05-18,107.04650058746337,0,350,0.0,37466.27520561218,144097.60036349297,181563.87556910515,-0.008913497352129762,0.2104258371273735
