index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-01-10,112.39850320816039,1,800,800.0,89918.80256652832,60081.19743347168,150000.0,,,,
2022-01-11,113.61599779129028,1,800,0.0,90892.79823303223,60081.19743347168,150973.9956665039,0.006493304443359271,0.006493304443359271,0.010831946586291386,0.010831946586291386
2022-01-12,114.24850282669068,1,800,0.0,91398.80226135254,60081.19743347168,151479.99969482422,0.003351597247502447,0.009866664632161237,0.005567042033660652,0.016459290521904313
2022-01-13,111.91799669265747,1,800,0.0,89534.39735412598,60081.19743347168,149615.59478759766,-0.012307927851747058,-0.002562701416015889,-0.020398570452765385,-0.004275025928174636
2022-01-14,112.53349819183349,1,800,0.0,90026.7985534668,60081.19743347168,150107.99598693848,0.00329110879143224,0.000719973246256389,0.005499575737280882,0.0012010389802354915
2022-01-18,110.1889998435974,1,800,0.0,88151.19987487792,60081.19743347168,148232.3973083496,-0.01249499512838792,-0.011784017944336034,-0.020833781815255303,-0.01965776501908567
2022-01-19,108.73500146865845,1,800,0.0,86988.00117492676,60081.19743347168,147069.19860839844,-0.007847128705147477,-0.019538675944010486,-0.013195494804406627,-0.03259386588731672
2022-01-20,107.42100248336791,1,800,0.0,85936.80198669434,60081.19743347168,146017.99942016602,-0.0071476502094190986,-0.02654667053222659,-0.01208441594282117,-0.044284403997571054
2022-01-21,105.55700149536133,1,800,0.0,84445.60119628906,60081.19743347168,144526.79862976074,-0.01021244501586649,-0.036488009134928445,-0.01735229559317497,-0.06086826352241259
2022-01-24,105.87270250320435,1,800,0.0,84698.16200256348,60081.19743347168,144779.35943603516,0.0017475015614329958,-0.034804270426432304,0.0029908106839970916,-0.05805949829127466
2022-01-25,103.98599615097045,1,800,0.0,83188.79692077637,60081.19743347168,143269.99435424805,-0.010425278076008904,-0.04486670430501305,-0.017820517542534664,-0.07484536552599885
2022-01-26,104.18699588775635,1,800,0.0,83349.59671020508,60081.19743347168,143430.79414367676,0.0011223549645094089,-0.0437947057088216,0.0019329500531406474,-0.07305708782612896
2022-01-27,103.28650236129761,1,800,0.0,82629.20188903809,60081.19743347168,142710.39932250977,-0.005022595220698256,-0.04859733784993481,-0.008643051071641206,-0.08106870275654354
2022-01-28,107.41399936676027,1,800,0.0,85931.19949340822,60081.19743347168,146012.39692687988,0.023137750437569382,-0.02658402048746744,0.039961630136575055,-0.044346710135177436
2022-01-31,109.68450117111206,1,800,0.0,87747.60093688965,60081.19743347168,147828.79837036133,0.01244004948696964,-0.014474677530924462,0.021137857427682816,-0.024146247143718824
2022-02-01,109.78099946975708,1,800,0.0,87824.79957580566,60081.19743347168,147905.99700927734,0.0005222165083329511,-0.013960019938150992,0.0008797806218261428,-0.023287709922219513
2022-02-02,110.85300331115722,1,800,0.0,88682.40264892578,60081.19743347168,148763.60008239746,0.005798298178986805,-0.00824266611735014,0.00976493060345529,-0.013750182190068072
2022-02-03,108.14550275802611,1,800,0.0,86516.40220642088,60081.19743347168,146597.59963989258,-0.014560016303082013,-0.0226826690673827,-0.024424241763945087,-0.037838586179904654
2022-02-04,108.56150236129761,1,800,0.0,86849.20188903809,60081.19743347168,146930.39932250977,0.0022701577886314883,-0.020464004516601464,0.003846665766604307,-0.0341374728074153
2022-02-07,108.1039969444275,1,800,0.0,86483.19755554199,60081.19743347168,146564.39498901367,-0.0024910048239419336,-0.02290403340657532,-0.004214250972204847,-0.038207859901652874
2022-02-08,108.98149948120117,1,800,0.0,87185.19958496094,60081.19743347168,147266.39701843262,0.004789717376253444,-0.018224019877115638,0.00811720714845321,-0.030400793866720455
2022-02-09,111.46749868392945,0,400,-400.0,44586.99947357178,104668.19690704346,149255.19638061523,0.01350477367850389,-0.004965357462564768,0.02281120387003943,-0.008283068703385799
2022-02-10,108.67750205993651,0,400,0.0,43471.00082397461,104668.19690704346,148139.19773101807,-0.0074771175587834415,-0.012405348459879284,-0.025029687190739613,-0.03310543327550031
2022-02-11,106.13800010681152,0,400,0.0,42455.20004272461,104668.19690704346,147123.39694976807,-0.006857069545458394,-0.019177353668212604,-0.023367319868324188,-0.055699167895096435
2022-02-14,105.87399816513062,0,400,0.0,42349.599266052246,104668.19690704346,147017.7961730957,-0.0007177701090494981,-0.019881358846028374,-0.0024873461099250704,-0.058047970896431544
2022-02-15,108.07900295257569,0,400,0.0,43231.60118103027,104668.19690704346,147899.79808807373,0.005999286738998411,-0.014001346079508203,0.020826688569991925,-0.03843022933841955
2022-02-16,108.10649919509888,0,400,0.0,43242.59967803955,104668.19690704346,147910.796585083,7.436451673004107e-05,-0.013928022766112935,0.00025440873594329005,-0.03818559758854423
2022-02-17,105.14200077056886,0,400,0.0,42056.80030822754,104668.19690704346,146724.997215271,-0.008016989950628162,-0.02183335189819302,-0.027422018533594494,-0.06456048995734931
2022-02-18,104.19350109100343,0,400,0.0,41677.40043640137,104668.19690704346,146345.59734344482,-0.0025857889182272498,-0.02436268437703415,-0.00902113021070583,-0.07299921158168288
2022-02-22,103.37099866867065,0,400,0.0,41348.39946746826,104668.19690704346,146016.59637451172,-0.002248109781949892,-0.02655602416992142,-0.007893989679974345,-0.08031694623878516
2022-02-23,101.24250078201294,0,400,0.0,40497.000312805176,104668.19690704346,145165.19721984863,-0.005830838245807102,-0.03223201853434199,-0.020590861209342393,-0.09925401235536646
2022-02-24,104.0659996986389,0,400,0.0,41626.39987945556,104668.19690704346,146294.59678649902,0.007780098730826968,-0.024702688090006086,0.027888474650634043,-0.07413358071227882
2022-02-25,105.73450374603271,0,400,0.0,42293.801498413086,104668.19690704346,146961.99840545654,0.004562038746595221,-0.02025334396362255,0.01603313332140721,-0.059289040974024876
2022-02-28,105.45550413131714,0,400,0.0,42182.201652526855,104668.19690704346,146850.3985595703,-0.0007593789353512737,-0.020997342936197372,-0.0026386808925278338,-0.06177127700699825
2022-03-01,104.12550354003906,0,400,0.0,41650.201416015625,104668.19690704346,146318.39832305908,-0.003622736075145405,-0.024544011179605585,-0.012611959918392812,-0.07360418005567082
2022-03-02,106.39119672775269,0,400,0.0,42556.478691101074,104668.19690704346,147224.67559814453,0.006193870938119961,-0.018502162679035927,0.02175925311940885,-0.05344649892073983
2022-03-03,105.50549907684326,0,400,0.0,42202.199630737305,104668.19690704346,146870.39653778076,-0.0024063837052070713,-0.02086402308146107,-0.008324914825197927,-0.06132647619471754
2022-03-04,104.48450002670288,0,400,0.0,41793.80001068115,104668.19690704346,146461.9969177246,-0.0027806803119176937,-0.023586687215168767,-0.009677211700565125,-0.07041021860229668
2022-03-07,101.47350234985352,0,400,0.0,40589.400939941406,104668.19690704346,145257.59784698486,-0.008223287242330346,-0.03161601435343375,-0.028817649278886748,-0.0971988108958527
2022-03-08,101.1975043296814,0,400,0.0,40479.00173187256,104668.19690704346,145147.19863891602,-0.0007600236387300674,-0.032352009073892796,-0.0027199023762928265,-0.099654341995417
2022-03-09,104.08450002670287,0,400,0.0,41633.800010681145,104668.19690704346,146301.9969177246,0.00795604937358374,-0.024653353881835538,0.028528328995310215,-0.0739689848543632
2022-03-10,102.63199911117555,0,400,0.0,41052.799644470215,104668.19690704346,145720.99655151367,-0.003971240163848755,-0.02852668965657512,-0.013955016502502193,-0.08689176295254941
2022-03-11,101.08599910736085,0,400,0.0,40434.399642944336,104668.19690704346,145102.5965499878,-0.004243726135288006,-0.03264935633341426,-0.015063528112124192,-0.10064639455072588
2022-03-14,99.3575005531311,0,400,0.0,39743.00022125244,104668.19690704346,144411.1971282959,-0.004764900409302553,-0.03725868581136027,-0.017099287433405608,-0.11602470035457269
2022-03-15,101.79549903869629,0,400,0.0,40718.199615478516,104668.19690704346,145386.39652252197,0.006752934769730601,-0.030757356516519674,0.024537639050828064,-0.09433403352202563
2022-03-16,104.49850044250488,0,400,0.0,41799.40017700195,104668.19690704346,146467.5970840454,0.007436738150091937,-0.023549352773030163,0.026553250677429974,-0.07028565808411913
2022-03-17,105.52500400543212,0,400,0.0,42210.00160217285,104668.19690704346,146878.1985092163,0.002803360151633294,-0.020812009938557585,0.009823141562610438,-0.061152942490690254
2022-03-18,107.19500408172608,0,400,0.0,42878.00163269043,104668.19690704346,147546.1985397339,0.004547986272283033,-0.016358676401773686,0.015825633858379096,-0.04629509270953136
2022-03-21,106.92950344085693,0,400,0.0,42771.80137634277,104668.19690704346,147439.99828338623,-0.0007197762965004406,-0.017066678110758016,-0.0024768005108403157,-0.0486572295110993
2022-03-22,108.08750276565551,0,400,0.0,43235.00110626221,104668.19690704346,147903.19801330566,0.003141615133697595,-0.013978679911295089,0.010829558611380685,-0.03835460721857642
2022-03-23,106.80450239181519,0,400,0.0,42721.800956726074,104668.19690704346,147389.99786376953,-0.0034698380861918343,-0.017400014241536033,-0.011870015876136897,-0.049769353298105834
2022-03-24,109.13449811935425,0,400,0.0,43653.7992477417,104668.19690704346,148321.99615478516,0.006323348290411479,-0.011186692301431878,0.021815519714622145,-0.029039577891542545
2022-03-25,109.37650117874145,0,400,0.0,43750.60047149658,104668.19690704346,148418.79737854004,0.0006526424014268173,-0.01054135080973273,0.0022174753497516964,-0.026886497089932515
2022-03-28,110.60400247573853,0,400,0.0,44241.60099029541,104668.19690704346,148909.79789733887,0.0033082097919614473,-0.007268014017740576,0.011222714968648573,-0.015965521614629608
