index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-01-10,70.83800106048584,1,1300,1300.0,92089.40137863159,57910.59862136841,150000.0,,,,
2022-01-11,71.36799926757814,1,1300,0.0,92778.39904785159,57910.59862136841,150688.99766922,0.0045933177948001,0.0045933177948001,0.007481834596656078,0.007481834596656078
2022-01-12,71.65200099945068,1,1300,0.0,93147.60129928587,57910.59862136841,151058.1999206543,0.0024500942812344384,0.007054666137695564,0.003979398817216984,0.011491006617617705
2022-01-13,70.68099899291991,1,1300,0.0,91885.29869079588,57910.59862136841,149795.8973121643,-0.008356399117380175,-0.001360684585571037,-0.013551638376968822,-0.002216353725620457
2022-01-14,70.87199916839597,1,1300,0.0,92133.59891891477,57910.59862136841,150044.19754028317,0.0016575903117121982,0.0002946502685547969,0.0027022846054454153,0.00047994166127196536
2022-01-18,69.71499977111816,1,1300,0.0,90629.4997024536,57910.59862136841,148540.09832382202,-0.010024374425124605,-0.009732677841186255,-0.01632519769237384,-0.015853091173602896
2022-01-19,69.23700084686278,1,1300,0.0,90008.10110092162,57910.59862136841,147918.69972229004,-0.004183372762937787,-0.013875335184732829,-0.006856471718062029,-0.022600866620389293
2022-01-20,69.01200237274169,1,1300,0.0,89715.6030845642,57910.59862136841,147626.20170593262,-0.001977424199283595,-0.015825321960448946,-0.0032496854480849047,-0.025777106361103863
2022-01-21,68.10199928283691,1,1300,0.0,88532.59906768799,57910.59862136841,146443.1976890564,-0.008013509818756481,-0.02371201540629042,-0.013186156880215516,-0.038623362272923845
2022-01-24,68.30770111083984,0,650,-650.0,44400.0057220459,102310.6043434143,146710.6100654602,0.0018260484653689346,-0.02192926623026492,0.003020496169996667,-0.035719527820744945
2022-01-25,67.46599941253662,0,650,0.0,43852.899618148804,102310.6043434143,146163.5039615631,-0.0037291515838764333,-0.02557664025624551,-0.012322207959208464,-0.04760159232994143
2022-01-26,67.50199775695802,0,650,0.0,43876.29854202271,102310.6043434143,146186.902885437,0.00016008732166183925,-0.025420647430419385,0.0005335775758879002,-0.0470934138962974
