index,close,STOCH_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-01-10,242.5840009689331,0,200,200.0,48516.80019378662,101483.19980621338,150000.0,,,,
2022-01-11,244.59199523925778,0,200,0.0,48918.399047851555,101483.19980621338,150401.59885406494,0.0026773256937662193,0.0026773256937662193,0.008277521445372749,0.008277521445372749
2022-01-12,245.19999446868897,0,200,0.0,49039.99889373779,101483.19980621338,150523.19869995117,0.0008085010186906771,0.0034879913330077006,0.002485769122724024,0.01078386657531838
2022-01-13,242.53299713134766,0,200,0.0,48506.59942626953,101483.19980621338,149989.7992324829,-0.003543636277166362,-6.800511678073384e-05,-0.01087682462277495,-0.00021025227295168314
2022-01-14,242.40200023651124,0,200,0.0,48480.400047302246,101483.19980621338,149963.59985351562,-0.00017467440520191335,-0.00024266764322933287,-0.0005401198863075329,-0.0007502585978254039
2022-01-18,238.663000869751,0,200,0.0,47732.600173950195,101483.19980621338,149215.79998016357,-0.00498654256154496,-0.005228000132243005,-0.015424787597099532,-0.016163473615410595
2022-01-19,236.8130048751831,1,400,200.0,94725.20195007324,54120.59883117676,148845.80078125,-0.0024796248048983838,-0.007694661458333418,-0.007751498924533751,-0.02378968139159776
2022-01-20,234.93400096893313,1,400,0.0,93973.60038757326,54120.59883117676,148094.19921875,-0.005049531518894423,-0.012705338541666777,-0.007934546952944377,-0.031535468000544964
2022-01-21,231.2280040740967,1,400,0.0,92491.20162963869,54120.59883117676,146611.80046081543,-0.010009836750897394,-0.022587996927897147,-0.015774629809018115,-0.046812637476000396
2022-01-24,231.89969558715822,1,400,0.0,92759.87823486328,54120.59883117676,146880.47706604004,0.001832571487289103,-0.020796819559733115,0.0029048882541331533,-0.044043734702616244
2022-01-25,229.79199962615968,1,400,0.0,91916.79985046387,54120.59883117676,146037.39868164062,-0.005739894104649146,-0.02641734212239588,-0.009088825906657494,-0.052732254772282605
2022-01-26,229.1199962615967,0,200,-200.0,45823.999252319336,99944.5980834961,145768.59733581543,-0.0018406336202356766,-0.028209351094563795,-0.002924398437092024,-0.05550244308593422
2022-01-27,228.08300056457523,0,200,0.0,45616.600112915046,99944.5980834961,145561.19819641113,-0.0014227971126490324,-0.029592012023925807,-0.004525993863222166,-0.05977723323235562
2022-01-28,232.56650047302247,0,200,0.0,46513.30009460449,99944.5980834961,146457.8981781006,0.006160295413888406,-0.02361401214599612,0.019657317280767028,-0.041294975991403415
2022-01-31,235.85299625396732,0,200,0.0,47170.599250793464,99944.5980834961,147115.19733428955,0.004487973433769055,-0.019232017771403043,0.014131423804633725,-0.02774710899350641
2022-02-01,237.03800735473632,0,200,0.0,47407.601470947266,99944.5980834961,147352.19955444336,0.0016109975342335492,-0.01765200297037761,0.005024363139711774,-0.022862157405455164
2022-02-02,238.77900276184084,0,200,0.0,47755.80055236817,99944.5980834961,147700.39863586426,0.002363039591358529,-0.015330675760904855,0.007344794307602598,-0.01568528094142363
2022-02-03,234.30100326538087,0,200,0.0,46860.20065307617,99944.5980834961,146804.79873657227,-0.006063625471316225,-0.02130134175618481,-0.0187537406751227,-0.03414486392535443
2022-02-04,235.26100215911868,0,200,0.0,47052.20043182374,99944.5980834961,146996.79851531982,0.0013078576477059123,-0.020021343231201083,0.004097288873537108,-0.03018747642286712
2022-02-07,234.9189989089966,0,200,0.0,46983.79978179932,99944.5980834961,146928.3978652954,-0.0004653206785132369,-0.020477347564697213,-0.0014537184105454237,-0.03159731074316874
2022-02-08,236.31800231933596,0,200,0.0,47263.600463867195,99944.5980834961,147208.19854736328,0.001904333581071116,-0.018612009684244812,0.005955258692726284,-0.02583022220991249
2022-02-09,239.0689994812012,0,200,0.0,47813.799896240234,99944.5980834961,147758.39797973633,0.003737559713401506,-0.014944013468424555,0.01164108165635147,-0.014489832279508286
2022-02-10,235.3200008392334,0,200,0.0,47064.00016784668,99944.5980834961,147008.59825134277,-0.005074498225788759,-0.01994267832438168,-0.01568165947949518,-0.029944267143281245
2022-02-11,231.93400211334227,0,200,0.0,46386.80042266846,99944.5980834961,146331.39850616455,-0.004606531544640746,-0.02445734329223659,-0.014388911753422828,-0.04390231347925844
2022-02-14,231.13700084686283,0,200,0.0,46227.400169372566,99944.5980834961,146171.99825286865,-0.0010893099835247444,-0.025520011647542584,-0.0034363278312680157,-0.04718777856886058
2022-02-15,234.09799995422367,0,200,0.0,46819.599990844734,99944.5980834961,146764.19807434082,0.004051390338440264,-0.021572012837728027,0.012810580290096407,-0.0349817011048319
2022-02-16,234.40400390625,0,200,0.0,46880.80078125,99944.5980834961,146825.3988647461,0.00041700081633178065,-0.021164007568359455,0.0013071617531383861,-0.03372026609343748
2022-02-17,230.52600383758548,0,200,0.0,46105.2007675171,99944.5980834961,146049.79885101318,-0.005282464885025706,-0.026334674326578877,-0.016544086295622873,-0.04970648139689915
2022-02-18,229.27200279235842,0,200,0.0,45854.40055847169,99944.5980834961,145798.99864196777,-0.001717223926485878,-0.02800667572021498,-0.005439737922627419,-0.054875829087671524
2022-02-22,227.20199813842774,1,400,200.0,90880.7992553711,54504.19845581055,145384.99771118164,-0.0028395320588091577,-0.030766681925455952,-0.009028597599007315,-0.0634089749079344
2022-02-23,223.91200485229493,1,400,0.0,89564.80194091797,54504.19845581055,144069.00039672852,-0.009051809575754577,-0.039539997355143464,-0.014480476902004713,-0.07697125961340501
2022-02-24,226.75700569152832,1,400,0.0,90702.80227661133,54504.19845581055,145207.00073242188,0.00789899515204251,-0.03195332845052101,0.012705887927313864,-0.06524335988436325
2022-02-25,230.5844944000244,0,200,-200.0,46116.89888000488,100621.09733581543,146737.9962158203,0.010543537678459947,-0.021746691894531378,0.01687925229398579,-0.049465366722372894
2022-02-28,230.79000186920172,0,200,0.0,46158.00037384035,100621.09733581543,146779.09770965576,0.000280101234141128,-0.021472681935628346,0.0008912458303498294,-0.04861820669386108
2022-03-01,228.54500465393065,0,200,0.0,45709.00093078613,100621.09733581543,146330.09826660156,-0.003059014873782462,-0.02446601155598971,-0.009727445717269023,-0.057872721444644615
2022-03-02,231.15969371795657,0,200,0.0,46231.938743591316,100621.09733581543,146853.03607940674,0.003573685926544057,-0.020979759470621917,0.011440587240071798,-0.047094232123080615
2022-03-03,230.21200103759767,0,200,0.0,46042.40020751953,100621.09733581543,146663.49754333496,-0.0012906681477752313,-0.022243349711100424,-0.00409973151078491,-0.05100088992645435
2022-03-04,228.78900413513185,0,200,0.0,45757.80082702637,100621.09733581543,146378.8981628418,-0.0019404922510393163,-0.024140678914388203,-0.006181245530433643,-0.05686688643398197
2022-03-07,223.40000419616703,0,200,0.0,44680.000839233406,100621.09733581543,145301.09817504883,-0.0073630830763184996,-0.031326012166341344,-0.02355445341150164,-0.07908187141831724
2022-03-08,222.0770004272461,0,200,0.0,44415.40008544922,100621.09733581543,145036.49742126465,-0.0018210513004203177,-0.03309001719156912,-0.005922129561641398,-0.08453566789144229
2022-03-09,226.62099781036378,0,200,0.0,45324.199562072754,100621.09733581543,145945.29689788818,0.0062660054040322155,-0.027031354014078746,0.020461359683243252,-0.06580402291498899
2022-03-10,225.55599956512452,0,200,0.0,45111.1999130249,100621.09733581543,145732.29724884033,-0.0014594485302042992,-0.028451351674397718,-0.004699468520257932,-0.07019424750105163
2022-03-11,223.25700473785403,0,200,0.0,44651.40094757081,100621.09733581543,145272.49828338623,-0.0031550930997058524,-0.03151667811075842,-0.010192567839928834,-0.0796713557113532
2022-03-14,221.5770021438599,0,200,0.0,44315.40042877198,100621.09733581543,144936.4977645874,-0.002312898330855351,-0.033756681569417246,-0.007524971482828935,-0.0865968025144559
2022-03-15,225.31000328063965,0,200,0.0,45062.00065612793,100621.09733581543,145683.09799194336,0.00515122304506499,-0.02877934672037752,0.01684742144113005,-0.07120831390074123
2022-03-16,229.14299488067627,0,200,0.0,45828.598976135254,100621.09733581543,146449.69631195068,0.005262095126846722,-0.02366869125366189,0.01701207910978697,-0.0554076362603082
2022-03-17,231.30299644470216,0,200,0.0,46260.59928894043,100621.09733581543,146881.69662475586,0.0029498204754552226,-0.020788689168293906,0.009426435074529227,-0.046503497671619876
2022-03-18,233.31400470733644,0,200,0.0,46662.800941467285,100621.09733581543,147283.89827728271,0.002738269381203917,-0.018107344818114934,0.008694259449920416,-0.03821355169578533
