type,level_1,model9
aggressive,accuracy,0.5243243243243243
aggressive,f1-score,0.5229844321596325
aggressive,precision,0.5236083977547392
aggressive,recall,0.5243243243243243
alternative,accuracy,0.5540540540540541
alternative,f1-score,0.5523740320943837
alternative,precision,0.5536273452940119
alternative,recall,0.5540540540540541
balanced,accuracy,0.5213270142180095
balanced,f1-score,0.4774803500685791
balanced,precision,0.5484098584390891
balanced,recall,0.5213270142180095
conservative,accuracy,0.5213270142180095
conservative,f1-score,0.5156735241942929
conservative,precision,0.5302402643777347
conservative,recall,0.5213270142180095
growth,accuracy,0.527027027027027
growth,f1-score,0.5270788536233306
growth,precision,0.5273231681892271
growth,recall,0.527027027027027
