type,level_1,model10
aggressive,accuracy,0.5243243243243243
aggressive,f1-score,0.48500264970853213
aggressive,precision,0.5263035000913344
aggressive,recall,0.5243243243243243
alternative,accuracy,0.527027027027027
alternative,f1-score,0.49196254242071497
alternative,precision,0.5293566051544775
alternative,recall,0.527027027027027
balanced,accuracy,0.46445497630331756
balanced,f1-score,0.33608650600123796
balanced,precision,0.40054141163955637
balanced,recall,0.46445497630331756
conservative,accuracy,0.4597156398104265
conservative,f1-score,0.321334860801607
conservative,precision,0.3958988315893201
conservative,recall,0.4597156398104265
growth,accuracy,0.5324324324324324
growth,f1-score,0.50077128920812
growth,precision,0.5359686868601476
growth,recall,0.5324324324324324
