type,level_1,model8
aggressive,accuracy,0.5108108108108108
aggressive,f1-score,0.4900017483868415
aggressive,precision,0.5185749385749385
aggressive,recall,0.5108108108108108
alternative,accuracy,0.4837837837837838
alternative,f1-score,0.3682382448894077
alternative,precision,0.47324312237102933
alternative,recall,0.4837837837837838
balanced,accuracy,0.4928909952606635
balanced,f1-score,0.4150420677563075
balanced,precision,0.5118455664450536
balanced,recall,0.4928909952606635
conservative,accuracy,0.4786729857819905
conservative,f1-score,0.43627892095106685
conservative,precision,0.49114725391480996
conservative,recall,0.4786729857819905
growth,accuracy,0.4945945945945946
growth,f1-score,0.4469549907404923
growth,precision,0.5017294684587917
growth,recall,0.4945945945945946
