type,level_1,model11
aggressive,accuracy,0.5432432432432432
aggressive,f1-score,0.5381531741662359
aggressive,precision,0.5429077193631988
aggressive,recall,0.5432432432432432
alternative,accuracy,0.5108108108108108
alternative,f1-score,0.5021098822159296
alternative,precision,0.5087318087318087
alternative,recall,0.5108108108108108
balanced,accuracy,0.4976303317535545
balanced,f1-score,0.472318774134276
balanced,precision,0.5067728965759246
balanced,recall,0.4976303317535545
conservative,accuracy,0.46919431279620855
conservative,f1-score,0.46869346271392603
conservative,precision,0.47234444150146704
conservative,recall,0.46919431279620855
growth,accuracy,0.5540540540540541
growth,f1-score,0.5485489567417279
growth,precision,0.5542998750963353
growth,recall,0.5540540540540541
