type,level_1,model6
aggressive,accuracy,0.5378378378378378
aggressive,f1-score,0.5327112186813678
aggressive,precision,0.5424077391971228
aggressive,recall,0.5378378378378378
alternative,accuracy,0.4783783783783784
alternative,f1-score,0.41871928933178176
alternative,precision,0.4748658347342558
alternative,recall,0.4783783783783784
balanced,accuracy,0.5165876777251185
balanced,f1-score,0.4922312732235485
balanced,precision,0.5306450317294562
balanced,recall,0.5165876777251185
conservative,accuracy,0.5165876777251185
conservative,f1-score,0.5157185437404459
conservative,precision,0.5208332974944306
conservative,recall,0.5165876777251185
growth,accuracy,0.527027027027027
growth,f1-score,0.4923868672221511
growth,precision,0.5458368184432014
growth,recall,0.527027027027027
