,type,level_1,model6
0,aggressive,accuracy,0.5378378378378378
1,aggressive,f1-score,0.5327112186813678
2,aggressive,precision,0.5424077391971228
3,aggressive,recall,0.5378378378378378
4,alternative,accuracy,0.4783783783783784
5,alternative,f1-score,0.41871928933178176
6,alternative,precision,0.4748658347342558
7,alternative,recall,0.4783783783783784
8,balanced,accuracy,0.5165876777251185
9,balanced,f1-score,0.4922312732235485
10,balanced,precision,0.5306450317294562
11,balanced,recall,0.5165876777251185
12,conservative,accuracy,0.5165876777251185
13,conservative,f1-score,0.5157185437404459
14,conservative,precision,0.5208332974944306
15,conservative,recall,0.5165876777251185
16,growth,accuracy,0.527027027027027
17,growth,f1-score,0.4923868672221511
18,growth,precision,0.5458368184432014
19,growth,recall,0.527027027027027
